year,month,project,downloads
2021,7,pymc3,537420
2021,7,pyspark,11930604
2021,7,pytorch,37884
2021,7,scikit-learn,26506847
2021,7,scipy,31818999
2021,7,scrapy,1759703
2021,7,seaborn,9211201
2021,7,selenium,8000174
2021,7,streamlit,401807
2021,7,tensorflow,10710702
2021,7,torch,4523819
2021,7,xgboost,5924069
2021,8,altair,2469551
2021,8,beautifulsoup,403184
2021,8,bokeh,1752825
2021,8,dash,651698
2021,8,django,7073367
2021,8,flask,52827923
2021,8,keras,5084494
2021,8,lightgbm,10887741
2021,8,matplotlib,30959146
2021,8,numpy,86202648
2021,8,pandas,85667789
2021,8,plotly,8520302
2021,8,polars,26183
2021,8,pymc3,287799
2021,8,pyspark,13355505
2021,8,pytorch,35087
2021,8,scikit-learn,26259569
2021,8,scipy,31762357
2021,8,scrapy,1753573
2021,8,seaborn,10381145
2021,8,selenium,8048073
2021,8,streamlit,478368
2021,8,tensorflow,11876382
2021,8,torch,5059963
2021,8,xgboost,7169719
2021,9,altair,2790098
2021,9,beautifulsoup,405322
2021,9,bokeh,1694882
2021,9,dash,678431
2021,9,django,7389453
2021,9,flask,52105836
2021,9,keras,5830728
2021,9,lightgbm,12433072
2021,9,matplotlib,28402870
2021,9,numpy,85958252
2021,9,pandas,85187757
2021,9,plotly,13904367
2021,9,polars,28269
2021,9,pymc3,266349
2021,9,pyspark,13616517
2021,9,pytorch,39358
2021,9,scikit-learn,22685075
2021,9,scipy,29734652
2021,9,scrapy,1553694
2021,9,seaborn,13396818
2021,9,selenium,8672868
2021,9,streamlit,618661
2021,9,tensorflow,11810319
2021,9,torch,4953132
2021,9,xgboost,7522673
2021,10,altair,3119651
2021,10,beautifulsoup,477908
2021,10,bokeh,1920837
2021,10,dash,783665
2021,10,django,7430559
2021,10,flask,60933329
2021,10,keras,6435065
2021,10,lightgbm,17475568
2021,10,matplotlib,33554105
2021,10,numpy,94881500
2021,10,pandas,83025294
2021,10,plotly,18688855
2021,10,polars,34132
2021,10,pymc3,285449
2021,10,pyspark,14396151
2021,10,pytorch,42664
2021,10,scikit-learn,24527818
2021,10,scipy,32555732
2021,10,scrapy,1206506
2021,10,seaborn,17351322
2021,10,selenium,9724726
2021,10,streamlit,598237
2021,10,tensorflow,12207820
2021,10,torch,6038645
2021,10,xgboost,8574093
2021,11,altair,3695765
2021,11,beautifulsoup,485491
2021,11,bokeh,2073432
2021,11,dash,870314
2021,11,django,7091254
2021,11,flask,47387032
2021,11,keras,7409668
2021,11,lightgbm,11279651
2021,11,matplotlib,27161139
2021,11,numpy,89299781
2021,11,pandas,68842407
2021,11,plotly,8989054
2021,11,polars,38926
2021,11,pymc3,267985
2021,11,pyspark,15097777
2021,11,pytorch,48188
2021,11,scikit-learn,24733171
2021,11,scipy,33287539
2021,11,scrapy,1229040
2021,11,seaborn,7892324
2021,11,selenium,8684271
2021,11,streamlit,674036
2021,11,tensorflow,13400547
2021,11,torch,6130752
2021,11,xgboost,8891153
2021,12,altair,3912037
2021,12,beautifulsoup,473972
2021,12,bokeh,2011993
2021,12,dash,1154238
2021,12,django,6528626
2021,12,flask,43572804
2021,12,keras,7487157
2021,12,lightgbm,10627291
2021,12,matplotlib,25436779
2021,12,numpy,87362025
2021,12,pandas,71295265
