year,month,project,downloads
2023,3,pandas,116966062
2023,3,plotly,8636007
2023,3,polars,541848
2023,3,pytorch,90909
2023,3,requests,313473388
2023,3,seaborn,9671228
2023,3,selenium,13986033
2023,3,shiny,8969
2023,3,streamlit,1543360
2023,3,tensorflow,18004238
2023,4,beautifulsoup,722766
2023,4,dash,1580824
2023,4,django,9352656
2023,4,flask,56588412
2023,4,keras,9442286
2023,4,matplotlib,32391802
2023,4,numpy,143252122
2023,4,pandas,108957911
2023,4,plotly,8140988
2023,4,polars,526308
2023,4,pytorch,86418
2023,4,requests,293948306
2023,4,seaborn,8581862
2023,4,selenium,13624875
2023,4,shiny,8872
2023,4,streamlit,1628939
2023,4,tensorflow,15204529
2023,5,beautifulsoup,714557
2023,5,dash,1546161
2023,5,django,10088507
2023,5,flask,59607601
2023,5,keras,10433972
2023,5,matplotlib,33867931
2023,5,numpy,152967725
2023,5,pandas,117986664
2023,5,plotly,8228884
2023,5,polars,616831
2023,5,pytorch,201422
2023,5,requests,319891420
2023,5,seaborn,9187911
2023,5,selenium,16805071
2023,5,shiny,9122
2023,5,streamlit,1890497
2023,5,tensorflow,15885002
2023,6,beautifulsoup,861434
2023,6,dash,1702178
2023,6,django,10016349
2023,6,flask,74794222
2023,6,keras,9735393
2023,6,matplotlib,31583284
2023,6,numpy,157504347
2023,6,pandas,122569751
2023,6,plotly,9239262
2023,6,polars,758520
2023,6,pytorch,203683
2023,6,requests,284172995
2023,6,seaborn,9998462
2023,6,selenium,12489434
2023,6,shiny,9245
2023,6,streamlit,1861896
2023,6,tensorflow,15669428
2023,7,beautifulsoup,841244
2023,7,dash,1926975
2023,7,django,10845493
2023,7,flask,93409639
2023,7,keras,10207612
2023,7,matplotlib,34649935
2023,7,numpy,170118146
2023,7,pandas,129400998
2023,7,plotly,10519907
2023,7,polars,876528
2023,7,pytorch,206407
2023,7,requests,310186871
2023,7,seaborn,10051830
2023,7,selenium,11250239
2023,7,shiny,12637
2023,7,streamlit,2004909
2023,7,tensorflow,16510230
2023,8,beautifulsoup,659893
2023,8,dash,2111419
2023,8,django,13132836
2023,8,flask,99191329
2023,8,keras,11824610
2023,8,matplotlib,39991677
2023,8,numpy,187383947
2023,8,pandas,138721360
2023,8,plotly,12678764
2023,8,polars,1743706
2023,8,pytorch,202662
2023,8,requests,353146032
2023,8,seaborn,10457218
2023,8,selenium,12331785
2023,8,shiny,16348
2023,8,streamlit,2799024
2023,8,tensorflow,17149210
2023,9,beautifulsoup,622635
2023,9,dash,2084208
2023,9,django,12789726
2023,9,flask,98558073
2023,9,keras,12090907
2023,9,matplotlib,39303082
2023,9,numpy,181137164
2023,9,pandas,136012880
2023,9,plotly,10705790
2023,9,polars,2330666
2023,9,pytorch,200034
2023,9,requests,334534450
2023,9,seaborn,9561693
2023,9,selenium,11508259
2023,9,shiny,18466
2023,9,streamlit,2247318
2023,9,tensorflow,17138234
2023,10,beautifulsoup,622298
2023,10,dash,2342461
2023,10,django,14183286
2023,10,flask,108087214
2023,10,keras,13617010
2023,10,matplotlib,44769046
2023,10,numpy,205243710
2023,10,pandas,150354240
2023,10,plotly,11686443
2023,10,polars,2874949
2023,10,pytorch,221689
2023,10,requests,354769849
2023,10,seaborn,12942644
2023,10,selenium,12722590
2023,10,shiny,21016
2023,10,streamlit,2743937
2023,10,tensorflow,18453673
2023,11,beautifulsoup,664616
2023,11,dash,2242704
2023,11,django,13633760
2023,11,flask,105320141
2023,11,keras,13302205
2023,11,matplotlib,45508686
2023,11,numpy,205933251
2023,11,pandas,147923892
2023,11,plotly,11602009
2023,11,polars,2792478
2023,11,pytorch,228461
2023,11,requests,364973736
2023,11,seaborn,12460169
2023,11,selenium,12770847
2023,11,shiny,19165
2023,11,streamlit,3044370
2023,11,tensorflow,17427597
2023,12,beautifulsoup,776899
2023,12,dash,2168286
2023,12,django,11732124
2023,12,flask,94381508
2023,12,keras,13526439
2023,12,matplotlib,46901433
2023,12,numpy,208558504
2023,12,pandas,151553549
2023,12,plotly,11256692
2023,12,polars,3497746
2023,12,pytorch,221489
2023,12,requests,359182680
2023,12,seaborn,12290987
2023,12,selenium,12541506
2023,12,shiny,20513
2023,12,streamlit,3132784
2023,12,tensorflow,17218756
2024,1,beautifulsoup,601184
2024,1,dash,2502043
2024,1,django,13259898
2024,1,flask,100298518
2024,1,keras,14353189
2024,1,matplotlib,54650797
2024,1,numpy,229318181
2024,1,pandas,166528246
2024,1,plotly,12301482
2024,1,polars,3729717
2024,1,pytorch,225130
2024,1,requests,387324285
2024,1,seaborn,14280984
2024,1,selenium,13631425
2024,1,shiny,30468
2024,1,streamlit,3316674
2024,1,tensorflow,18462521
2024,2,beautifulsoup,617137
2024,2,dash,2692695
2024,2,django,14132946
2024,2,flask,97099707
2024,2,keras,15509170
2024,2,matplotlib,56423191
2024,2,numpy,235148179
2024,2,pandas,167506217
2024,2,plotly,12686077
2024,2,polars,3641464
2024,2,pytorch,206240
2024,2,requests,392426582
2024,2,seaborn,15526516
2024,2,selenium,13903938
2024,2,shiny,39489
2024,2,streamlit,5205684
2024,2,tensorflow,19139463
2024,3,beautifulsoup,624287
2024,3,dash,3010856
2024,3,django,15594602
